Force(N),Distance(mm),Time(ms)
3.688967,109,38191
3.662712,110,38286
3.636888,109,38376
3.617731,110,38469
3.628756,112,38561
3.648676,109,38654
3.659409,108,38747
3.667742,109,38858
3.653204,110,38932
3.620633,113,39024
3.593504,110,39121
3.574126,110,39210
3.564166,109,39302
3.576214,110,39395
3.596627,108,39488
3.628495,111,39580
3.660553,109,39673
3.685825,110,39766
3.697703,111,39877
3.693496,108,39956
3.694118,108,40043
3.72692,108,40136
3.778226,109,40229
3.825406,108,40321
3.867435,111,40414
3.917928,110,40507
3.958631,107,40599
3.981383,109,40693
4.021112,108,40784
4.067278,111,40896
4.096124,107,40970
4.092741,109,41062
4.088283,108,41155
4.106777,110,41248
4.120281,110,41340
4.120914,108,41433
4.105,110,41528
4.070149,109,41618
4.056545,107,41711
4.041043,107,41803
4.002608,107,41910
3.950127,108,41989
3.879714,110,42081
3.827314,110,42174
3.788728,107,42267
3.75427,111,42359
3.713637,107,42452
3.667582,110,42544
3.614398,110,42637
3.5751,109,42730
3.558182,108,42822
3.561917,109,42947
3.558001,108,43008
3.550029,110,43100
3.543643,108,43198
3.521605,105,43285
3.516816,106,43378
3.539798,109,43471
3.57999,108,43563
3.638083,107,43656
3.679008,109,43749
3.693556,110,43841
3.684389,109,43952
3.659047,108,44033
3.639519,109,44119
3.641768,108,44212
3.65475,109,44304
3.667833,107,44397
3.697422,111,44489
3.74939,107,44582
3.803859,107,44675
3.847163,108,44767
3.889986,109,44860
3.913379,107,44962
3.934545,109,45045
3.950037,106,45138
3.951563,110,45230
3.961332,108,45323
3.964023,107,45416
3.957617,107,45508
3.938802,106,45601
3.905819,105,45693
3.879734,110,45786
3.862957,107,45879
3.85119,107,45985
3.830496,107,46064
3.81902,106,46156
3.831842,108,46249
3.834181,107,46342
3.815114,105,46434
3.812815,108,46527
3.790516,106,46619
3.747553,108,46712
3.719149,108,46805
3.713125,109,46897
3.721338,105,47022
3.719018,105,47083
3.716127,108,47175
3.742954,108,47268
3.793739,107,47361
3.851551,107,47453
3.905207,108,47546
3.956443,108,47638
3.987678,108,47731
3.998672,106,47824
4.005911,105,47916
4.006886,108,48028
3.994626,109,48102
3.989807,105,48194
3.971885,105,48287
3.946322,109,48379
3.939484,108,48472
3.930589,111,48565
3.928902,108,48657
3.927787,105,48750
3.919604,107,48843
3.914454,110,48935
3.906713,102,49046
3.924675,107,49120
3.969485,109,49213
4.007066,107,49306
4.02782,107,49398
4.025219,106,49491
4.018662,107,49583
4.024827,105,49676
4.017568,105,49769
4.002628,105,49861
4.001243,105,49954
4.022528,105,50065
4.064025,102,50139
4.078594,107,50232
4.083363,105,50324
4.076053,106,50417
4.063704,107,50510
4.076595,106,50602
4.096034,107,50695
4.110913,111,50787
4.124458,106,50880
4.111837,105,50973
4.084558,104,51097
4.04542,107,51158
4.011213,105,51251
4.003512,108,51343
3.99304,103,51436
3.989706,106,51529
4.006514,107,51621
4.036364,107,51714
4.072479,105,51806
4.099678,105,51899
4.128344,104,51992
4.162982,108,52103
4.186728,105,52178
4.210303,104,52270
4.2395,105,52362
4.284672,105,52455
4.330546,105,52548
4.357665,107,52640
4.3589,106,52733
4.352796,107,52826
4.34652,105,52918
4.342625,104,53011
4.339241,106,53122
4.342936,104,53196
4.355526,108,53289
4.346028,106,53381
4.324733,108,53474
4.290325,103,53567
4.249179,105,53659
4.220343,105,53752
4.212763,109,53845
4.221317,104,53937
4.223395,108,54030
4.215062,103,54141
4.199058,106,54215
4.156537,106,54308
4.095702,106,54400
4.039426,104,54493
3.987357,104,54586
3.970298,104,54678
3.978923,106,54771
3.987788,106,54864
4.001213,105,54956
4.023271,104,55049
4.064888,104,55173
4.10252,106,55234
4.127972,104,55327
4.172581,100,55420
4.217542,102,55512
4.263497,107,55605
4.294391,105,55697
4.295324,101,55790
4.289943,101,55883
4.272944,101,55975
4.253577,105,56068
4.244842,101,56179
4.257201,103,56259
