Distance_Sample,Time(S)
41,51.01436424255371
42,51.11995482444763
42,51.22554421424866
42,51.331135749816895
38,51.436225175857544
41,51.541815757751465
42,51.64790868759155
42,51.75299882888794
41,51.85808825492859
39,51.96417951583862
41,52.068769693374634
42,52.17486023902893
42,52.280452489852905
37,52.386542320251465
41,52.49163269996643
42,52.59772515296936
40,52.70281457901001
41,52.80890679359436
41,52.9134955406189
42,53.019086837768555
41,53.124677419662476
43,53.23076820373535
42,53.334858417510986
44,53.44144916534424
44,53.546040058135986
39,53.65263104438782
42,53.7577223777771
41,53.86281180381775
44,53.967902421951294
43,54.07449412345886
41,54.17958426475525
41,54.28517508506775
43,54.39076542854309
43,54.495856046676636
45,54.60144805908203
42,54.707037687301636
40,54.812628746032715
40,54.9182186126709
41,55.02380990982056
39,55.12890100479126
42,55.23449182510376
41,55.34008312225342
40,55.44517230987549
39,55.5512638092041
40,55.65685439109802
40,55.76194453239441
41,55.867035150527954
42,55.97362685203552
42,56.07871747016907
40,56.183807611465454
40,56.28989863395691
41,56.39548969268799
42,56.50057935714722
39,56.60667085647583
39,56.71276235580444
39,56.81685209274292
43,56.92344403266907
42,57.02853465080261
42,57.134124517440796
41,57.239715814590454
40,57.34580636024475
37,57.450896978378296
41,57.55598735809326
42,57.66157841682434
41,57.76766920089722
42,57.87175917625427
41,57.97885060310364
41,58.08344078063965
40,58.18953227996826
41,58.294623136520386
43,58.40071511268616
38,58.505804777145386
41,58.61189579963684
43,58.71598553657532
42,58.82207703590393
41,58.92766809463501
40,59.0327570438385
42,59.13784861564636
42,59.24393844604492
42,59.349529504776
41,59.45562171936035
43,59.56071090698242
43,59.66580128669739
39,59.77089166641235
39,59.87748384475708
40,59.98257374763489
42,60.0886652469635
39,60.19375562667847
42,60.29984641075134
41,60.40393567085266
41,60.510528326034546
42,60.61511778831482
40,60.72170901298523
41,60.82579851150513
42,60.93189072608948
40,61.03748154640198
41,61.14357304573059
40,61.24816179275513
39,61.354753494262695
41,61.458842754364014
42,61.56543469429016
42,61.670024394989014
40,61.77661633491516
40,61.88120937347412
43,61.98679709434509
40,62.092888593673706
40,62.198479652404785
42,62.3030686378479
42,62.409661054611206
41,62.51425123214722
42,62.61984133720398
43,62.72543263435364
42,62.83102250099182
40,62.93661427497864
40,63.04270553588867
38,63.14779543876648
41,63.253886461257935
41,63.35847783088684
41,63.4645676612854
38,63.56915736198425
41,63.6757493019104
43,63.77983856201172
42,63.88693070411682
40,63.99152064323425
42,64.09711241722107
42,64.20220232009888
39,64.30879378318787
39,64.41288304328918
41,64.51897406578064
41,64.62406420707703
42,64.73015546798706
42,64.83524584770203
41,64.94183778762817
41,65.04592752456665
40,65.15251898765564
41,65.25760912895203
38,65.36370038986206
42,65.46829056739807
39,65.57388114929199
42,65.67897295951843
41,65.78556323051453
41,65.89065361022949
41,65.99624490737915
41,66.10183572769165
40,66.2079267501831
41,66.31201601028442
40,66.41860771179199
43,66.52319717407227
42,66.62878775596619
42,66.73387861251831
41,66.8404700756073
44,66.94556188583374
41,67.05115222930908
42,67.15674185752869
43,67.26283407211304
42,67.3669228553772
43,67.47301411628723
42,67.57860493659973
42,67.68469619750977
41,67.78978610038757
41,67.89487719535828
43,67.99996733665466
44,68.10655927658081
42,68.21164917945862
41,68.31774067878723
41,68.42182970046997
43,68.52842164039612
42,68.63301301002502
40,68.73960375785828
42,68.84419417381287
40,68.95028519630432
40,69.05537676811218
41,69.16096520423889
41,69.26605653762817
41,69.37264752388
39,69.47773718833923
43,69.58332872390747
40,69.68892049789429
43,69.79451036453247
43,69.89910054206848
40,70.00569176673889
43,70.12279295921326
41,70.22888374328613
39,70.33297443389893
39,70.43957233428955
43,70.5446548461914
43,70.6502456665039
41,70.75583624839783
38,70.8614273071289
42,70.96651768684387
40,71.07210850715637
41,71.17769980430603
43,71.28379321098328
41,71.3878812789917
41,71.49397158622742
41,71.5990617275238
40,71.70515298843384
42,71.81024360656738
43,71.91683530807495
39,72.0214250087738
40,72.12701749801636
42,72.23260712623596
42,72.338698387146
42,72.44278764724731
40,72.54987931251526
42,72.65446925163269
41,72.76006007194519
41,72.86565089225769
41,72.97124218940735
42,73.07683229446411
39,73.18192267417908
42,73.28751420974731
42,73.39360499382019
41,73.49869585037231
38,73.60478615760803
40,73.709876537323
42,73.81496739387512
40,73.92005801200867
38,74.02614998817444
42,74.13173937797546
42,74.23783087730408
41,74.34242057800293
41,74.44851279258728
40,74.554607629776
40,74.6596930027008
40,74.76578450202942
41,74.87087535858154
41,74.97646689414978
40,75.0810558795929
41,75.18714761734009
42,75.29273748397827
39,75.39782810211182
39,75.50391936302185
37,75.60951066017151
40,75.71410012245178
42,75.82069206237793
40,75.92528200149536
40,76.03187394142151
42,76.13646411895752
42,76.24255466461182
41,76.34764623641968
40,76.45323586463928
39,76.55882692337036
40,76.66491746902466
43,76.7690076828003
41,76.87509894371033
41,76.98068928718567
43,77.08628034591675
41,77.1908700466156
42,77.29746127128601
43,77.4020516872406
42,77.50864458084106
41,77.61373376846313
42,77.71982407569885
45,77.8249146938324
43,77.93000531196594
41,78.0355966091156
38,78.14168787002563
42,78.24677777290344
42,78.35286855697632
40,78.45796179771423
41,78.56305003166199
40,78.66864109039307
41,78.77423143386841
39,78.87982177734375
41,78.98491215705872
40,79.09050297737122
42,79.19659495353699
41,79.3016848564148
41,79.40777659416199
41,79.51286602020264
40,79.61795687675476
44,79.72354745864868
42,79.82963871955872
42,79.93472909927368
42,80.04081988334656
42,80.14691233634949
41,80.25150275230408
42,80.35759401321411
43,80.46268391609192
42,80.56777477264404
40,80.6738646030426
41,80.77945590019226
41,80.88454556465149
40,80.99063682556152
43,81.09572720527649
38,81.20181965827942
41,81.30590772628784
43,81.41250014305115
40,81.51859140396118
42,81.62368178367615
42,81.72977304458618
42,81.83486294746399
38,81.94045376777649
41,82.04554486274719
41,82.15163588523865
43,82.25672554969788
38,82.36281657218933
40,82.46690583229065
38,82.57349824905396
41,82.67808818817139
41,82.7846794128418
40,82.88977026939392
42,82.99486088752747
40,83.10045099258423
41,83.20654225349426
42,83.31163215637207
43,83.41722345352173
44,83.52281403541565
39,83.62790560722351
40,83.7334954738617
41,83.83908677101135
41,83.94467830657959
40,84.05076885223389
41,84.15485739707947
38,84.2609486579895
40,84.36603903770447
39,84.47213053703308
43,84.57772135734558
41,84.68381214141846
41,84.78790235519409
40,84.8944935798645
39,84.99908328056335
41,85.10517454147339
44,85.21026563644409
42,85.31585621833801
43,85.42144680023193
43,85.52753782272339
41,85.63212752342224
41,85.7387204170227
39,85.84380960464478
41,85.94990229606628
40,86.0539903640747
42,86.16058254241943
40,86.26567339897156
41,86.3717634677887
42,86.47785520553589
41,86.58244514465332
42,86.6885359287262
42,86.79362607002258
43,86.89971804618835
43,87.00480771064758
39,87.1108992099762
39,87.2149887084961
43,87.32107996940613
39,87.4266710281372
43,87.53226161003113
38,87.63735294342041
42,87.74294352531433
41,87.84853386878967
42,87.95412421226501
43,88.05971479415894
43,88.16580605506897
39,88.26989603042603
40,88.37648749351501
40,88.48157835006714
38,88.5876693725586
42,88.69225835800171
41,88.79885005950928
41,88.90293979644775
39,89.00953149795532
41,89.11412119865417
44,89.22021222114563
42,89.32480239868164
41,89.43189477920532
41,89.53598499298096
42,89.64257574081421
41,89.74716591835022
39,89.85325717926025
39,89.95784783363342
41,90.0644383430481
39,90.16902923583984
42,90.27562046051025
40,90.38071179389954
44,90.48680257797241
43,90.59089207649231
40,90.69748282432556
42,90.80207228660583
43,90.90866446495056
42,91.01325416564941
39,91.11984610557556
41,91.22393584251404
42,91.3300268650055
40,91.435617685318
40,91.54170942306519
40,91.646799325943
42,91.75288987159729
40,91.8574800491333
39,91.9635717868805
41,92.06866312026978
41,92.17475366592407
41,92.2798433303833
39,92.38493418693542
42,92.49052453041077
40,92.59661602973938
41,92.70170593261719
43,92.80729699134827
43,92.91188716888428
41,93.01797842979431
42,93.12356996536255
39,93.22966027259827
41,93.33424997329712
40,93.43984127044678
41,93.54543280601501
41,93.65152335166931
43,93.7566134929657
41,93.86220407485962
38,93.96779489517212
41,94.07388710975647
39,94.17797684669495
42,94.28406763076782
40,94.3896586894989
41,94.50775933265686
41,94.6118495464325
40,94.71793985366821
41,94.8230299949646
40,94.92912220954895
40,95.03421187400818
43,95.1398024559021
41,95.24489402770996
43,95.35098481178284
41,95.45657587051392
39,95.56266665458679
41,95.66725707054138
39,95.77284669876099
43,95.8784384727478
41,95.9845290184021
43,96.08911895751953
41,96.19571089744568
42,96.30030059814453
40,96.40589165687561
40,96.51148223876953
41,96.61757373809814
40,96.72216296195984
40,96.82875609397888
44,96.93384528160095
39,97.0389358997345
39,97.14402627944946
41,97.25011730194092
39,97.3552074432373
40,97.46130609512329
42,97.56588959693909
41,97.6719799041748
41,97.7775719165802
41,97.88316249847412
